Model,Train MAE,Test MAE,Test RMSE,Test R²,Test MAPE (%),CV MAE
Linear Regression,1.7763568394002505e-15,11.867862691594695,13.029214579588599,0.19301715345096482,9.86809928181948,11.497831674837277
Ridge Regression,0.2635455698383833,11.924784118832804,13.03403392154749,0.19242005751120983,9.902775286582937,11.618485843639034
ElasticNet,0.20311695100951432,12.519885367847735,14.259861647995521,0.03337404108470621,10.513569711481265,11.213578796381789
Lasso Regression,0.14539986476534672,12.004863505151377,16.593357530741326,-0.3088695730718072,10.520840507766337,11.478331564824153
Random Forest,2.928368754619015,13.802939329774333,13.810584529049846,0.09332435300566455,10.958122959225294,13.98111267274957
SVR,2.4162303227646618,14.036377976285223,14.07842661550254,0.05781524479283395,11.198984299013649,13.365737503663732
Extra Trees,0.00216786964955773,13.893783383394222,15.429005979151931,-0.13162810457510443,11.58975903379772,14.112090393166751
Gradient Boosting,1.23794402817623e-06,15.614504814476163,19.647577871738928,-0.8350414039025664,13.41787180945622,15.104914453770826
